step,len_top_returned,mass_k100,mass_k128,mass_k200,p_chosen_in_top
0.0,200.0,0.8840247099641131,0.8990626544717463,0.9222876546605842,0.16711702720473215
1.0,200.0,0.9810223815828871,0.9845178031401579,0.9899258235790565,0.38539401009484026
2.0,200.0,0.9811454934547864,0.9840316634560218,0.9885486420807543,0.7906847632225078
3.0,200.0,0.9788939088698445,0.9843249287320006,0.9903160357135452,0.23720348204476518
4.0,200.0,0.9937144606839201,0.9949418492817922,0.9965510333474006,0.40141021127639503
5.0,200.0,0.9968981300490383,0.9976065639918156,0.9984697930547798,0.40976036433405244
6.0,200.0,0.9976081903257977,0.997949006199451,0.9984705067783916,0.5905822080954539
7.0,200.0,0.9999937819344725,0.9999968701547923,1.0000001419354032,0.6879984727912263
8.0,200.0,0.9989528207080635,0.9991239932009057,0.9993773756547301,0.9058007593240888
9.0,200.0,0.999338212278725,0.9994456586324774,0.999608190211938,0.5939623118283561
10.0,200.0,0.9999288411009393,0.9999414885785719,0.9999627051410713,0.9987993239988191
11.0,200.0,1.0000010893033429,1.0000011932482522,1.0000013177517517,0.9996274709636973
12.0,200.0,0.9999883520483256,0.9999919292518441,0.9999976153229623,0.9995622038768093
13.0,200.0,0.9989719991019582,0.9991182942287997,0.9993480443677937,0.40641467766402434
14.0,200.0,0.9998177306778511,0.9998539205223821,0.9999072670492573,0.4821625944777776
15.0,200.0,0.9998740356697792,0.999894561173246,0.9999286673764114,0.8869414331899584
16.0,200.0,0.9998668050611873,0.9998956749441333,0.9999334063050468,0.9780099980216125
17.0,200.0,0.9981110559188535,0.9985372864597698,0.9990571529762025,0.513882225643393
18.0,200.0,0.9999912374509928,0.9999940800255495,0.9999987230716223,0.9960722923261266
19.0,200.0,0.9998271290429496,0.999859119527688,0.9999047640665215,0.8989650618829286
20.0,200.0,0.9997955575284727,0.9998444832803388,0.9999073915226413,0.7974739134034879
21.0,200.0,0.9992949864146649,0.9994299368092968,0.9996104590953395,0.858124072373964
22.0,200.0,0.9998808924995645,0.9998981600469014,0.999925794221642,0.8067945244886391
23.0,200.0,0.9998675215107533,0.9998901105363265,0.9999259282529988,0.9981757402106619
24.0,200.0,0.999826990454361,0.9998665148605028,0.9999150621952921,0.96108966889726
25.0,200.0,0.9993767896548267,0.9995255793923126,0.9997103550494821,0.3470397360929167
26.0,200.0,0.9980905663627564,0.9983746697643008,0.9987825888199438,0.20901406112244847
27.0,200.0,0.9992549097800087,0.999378933846182,0.9995621407014956,0.43524059433444096
28.0,200.0,0.9997642945268748,0.9998025732671981,0.9998608972205959,0.38292197077143264
29.0,200.0,0.9997386092664808,0.9997682850209947,0.9998163469959405,0.6969561075504719
30.0,200.0,0.999963645381092,0.9999712928467102,0.9999841185045765,0.9684793949485485
31.0,200.0,0.9999471503806001,0.999957556700163,0.9999749054053512,0.774254808981002
32.0,200.0,0.9998160618762965,0.9998603667109212,0.9999155525011181,0.6985459372811205
33.0,200.0,1.0000008613384126,1.0000009330355204,1.0000010468594827,0.9999873638151093
34.0,200.0,0.9997790866608921,0.9998319403629851,0.9998977266692038,0.506635318486036
35.0,200.0,0.9971970791091701,0.9978092059531765,0.9986093055531868,0.21659463857582853
36.0,200.0,0.9994516693254466,0.9995373583737078,0.9996604983284739,0.49144026324081846
37.0,200.0,0.9999051834927799,0.9999255467815391,0.9999534180658792,0.9854019880262246
38.0,200.0,1.0000006954430065,1.0000008135913308,1.0000009633275146,0.8108034117134569
39.0,200.0,1.0000007780935918,1.0000008713276245,1.0000010062886935,0.9999876022334326
40.0,200.0,0.9998655204470086,0.9998928223240767,0.9999313944532316,0.9175133686829764
41.0,200.0,0.9994021454755495,0.9995012844311238,0.9996451006813333,0.4108689106065633
42.0,200.0,0.9999534500969522,0.9999650633906544,0.9999825250762681,0.9582076662020874
43.0,200.0,0.9992944635149053,0.999422209474475,0.9995933105337965,0.5816478143793248
44.0,200.0,0.999912106765009,0.9999278995769949,0.9999528354758749,0.8545404113371643
45.0,200.0,0.999923857940473,0.9999364668520685,0.9999578956393907,0.9684382084158785
46.0,200.0,0.9999432691399863,0.9999549716016569,0.999972410006399,0.8623686971557893
47.0,200.0,0.9999542315054398,0.9999648704378964,0.9999804782407228,0.9294664889047594
48.0,200.0,0.9998579065698538,0.9998837861157674,0.9999192434359319,0.7804651312255008
49.0,200.0,0.9999953381696199,0.9999974670607866,1.0000009075924272,0.9692639112580074
50.0,200.0,0.9999019686486011,0.9999267263140219,0.9999574493701516,0.5314081771660135
51.0,200.0,0.995711000531075,0.9968136922915044,0.9981169921117924,0.6265527045932692
52.0,200.0,0.9988426975382414,0.9990964834286564,0.9994255968106215,0.4298535281646637
53.0,200.0,0.9990416149432628,0.9992173575540437,0.9994740025449754,0.9569816005777042
54.0,200.0,0.9950546167079675,0.9963729970211157,0.9978970654580737,0.3518604130946407
55.0,200.0,0.9932612139633725,0.9946466071058633,0.996452864625826,0.2679228271711289
56.0,200.0,0.9939998364919115,0.9955047044971791,0.9974036617804365,0.3591703664892144
57.0,200.0,0.9996301333096814,0.9996995242420269,0.9997983968467069,0.9374544012895583
58.0,200.0,1.000001437373308,1.0000018462883977,1.000002412343211,0.9960834981138367
59.0,200.0,0.9976276391587072,0.9980710665324031,0.9986538567767177,0.5525037613465027
60.0,200.0,0.998610001399745,0.9989181199333543,0.9992850369680998,0.6670789085008816
61.0,200.0,0.9984916656795393,0.9987483616272718,0.9991044155804452,0.5445763437411116
62.0,200.0,0.9975834545310449,0.9980269406072576,0.9986486951734331,0.40863332603010255
63.0,200.0,0.9969127999284477,0.9976038586891316,0.9984837345596376,0.41782682195276566
64.0,200.0,0.9860523712282542,0.9898739957448649,0.9941234077491343,0.25719410084422123
65.0,200.0,0.9995729285481161,0.9996569628896312,0.9997774342664799,0.9364452330869214
66.0,200.0,0.998414622498851,0.9987331907582652,0.9991702386863596,0.4418843799099863
67.0,200.0,0.9977899311018312,0.998247642459138,0.9988924270300183,0.4648024024114532
68.0,200.0,0.9980334426582931,0.9984009725119477,0.998909893058642,0.47497148047981835
69.0,200.0,0.9979457001848723,0.9985396410792294,0.9991806245213137,0.7255111316664079
70.0,200.0,0.9659987233915902,0.9743497124211847,0.983884691602307,0.12074216995641676
71.0,200.0,0.9600471114663144,0.96587870768296,0.9753300228580746,0.4895925711467664
72.0,200.0,0.9937951089821899,0.9948061440720638,0.9961977806446815,0.601529834420149
73.0,200.0,0.999493520347181,0.9995759492887258,0.9996988349096743,0.8446256549398886
74.0,200.0,0.9956699238434105,0.996414323321626,0.9975369925978669,0.3986171488173329
75.0,200.0,0.999545121991068,0.9996163551169636,0.9997224730132004,0.868123168077145
76.0,200.0,0.9948186027804212,0.9959341685581283,0.9974718405300426,0.6812903260460651
77.0,200.0,0.9985100292697351,0.9987489019615515,0.9990843478356906,0.9759719968546409
78.0,200.0,0.9450464215194952,0.9525389337763611,0.9642476651447973,0.5946941865372743
